id,webpage,fingerprint
1280,telekom.com,24:05:31:74:EF:DE:CD:B4:67:87:55:13:22:4E:1A:EC:3D:90:11:04:A0:61:19:F8:94:64:A7:54:D9:C6:30:C1
1281,barclaycardus.com,3F:ED:72:9B:9A:36:4E:8A:4B:84:A2:B9:B0:AD:A4:0B:2B:75:A2:A0:E3:49:F4:ED:9A:7B:42:79:1A:0C:61:9C
1297,gnavi.co.jp,90:33:37:58:29:09:54:45:5F:87:2B:0C:90:21:08:5E:51:4A:0A:72:58:B7:DC:F5:61:C7:D9:C3:A7:9B:8B:C1
1301,filmweb.pl,D6:D3:C4:D2:E1:1C:3D:73:D0:39:57:3F:AF:FC:0D:40:ED:DD:32:C9:6F:65:C5:D3:CB:52:42:45:CC:02:E3:31
1312,barnesandnoble.com,27:F8:85:90:B7:D0:99:A1:17:F1:25:79:F6:57:FF:E0:46:A3:AB:9C:8D:83:EB:8D:FF:98:52:23:9C:2A:4F:81
1322,vente-privee.com,74:3E:90:A6:BC:C5:58:9D:F0:FF:60:1E:32:17:C0:2B:8E:EB:D1:D0:7A:95:CC:8C:D5:F8:A3:98:A5:B2:99:D3
1330,bahn.de,28:7F:BF:CD:0C:74:E7:60:EB:6A:16:8B:80:05:60:0A:D0:B4:B2:3B:13:E6:72:C8:0B:A8:ED:AD:C0:B4:AE:14
1345,gumtree.com.au,4B:45:64:17:BB:6C:7D:F1:EE:96:02:BE:12:5B:4B:30:C4:3D:DF:9E:57:4D:69:D9:E5:1B:5B:AF:64:95:72:2D
1354,starbucks.com,D8:52:78:86:CC:18:55:8A:D8:C3:48:01:16:1F:DD:05:88:E4:98:41:5F:57:C9:15:CF:89:DB:45:3A:DA:05:00
1379,opensubtitles.org,55:12:85:0E:71:59:4D:60:80:21:31:57:C8:7D:8D:D2:D1:B2:BC:45:84:B1:A3:1D:DC:64:2F:BC:EE:65:69:CD
1397,miui.com,36:FE:AA:6E:05:30:E0:CF:D1:C9:83:83:0D:45:38:1A:E1:A2:76:2E:7F:75:80:BD:74:19:93:34:B3:E2:7F:FE
1402,talk.tw,95:35:77:ED:19:87:12:1B:D1:21:C2:23:FF:EA:FD:7A:63:92:84:11:B2:28:3A:61:B5:F7:D6:2C:30:01:0C:19
1425,bankrate.com,F0:A6:7C:5D:7D:2D:B3:8D:96:D5:96:AA:A7:AC:15:DF:0D:DE:06:FB:FA:98:26:86:A8:82:B2:B0:2D:F4:95:F3
1444,yahoo-mbga.jp,AA:69:15:65:FB:D5:19:76:F3:AA:2F:C3:95:34:A5:77:98:C3:11:35:44:EC:7D:41:64:77:2A:F1:7D:28:2A:84
1453,elconfidencial.com,67:08:97:45:B1:E8:DB:18:42:06:02:F1:9D:85:43:EC:27:22:AD:BC:2D:93:DB:06:4D:DA:C1:3B:1A:1E:C2:1F
